2 of Hearts (Low contrast),0,0,923,0
3 of Hearts (Low contrast),71,0,994,0
4 of Hearts (Low contrast),142,0,1065,0
5 of Hearts (Low contrast),213,0,1136,0
6 of Hearts (Low contrast),284,0,1207,0
7 of Hearts (Low contrast),355,0,1278,0
8 of Hearts (Low contrast),426,0,1349,0
9 of Hearts (Low contrast),497,0,1420,0
10 of Hearts (Low contrast),568,0,1491,0
Jack of Hearts (Low contrast),639,0,1562,0
Queen of Hearts (Low contrast),710,0,1633,0
King of Hearts (Low contrast),781,0,1704,0
Ace of Hearts (Low contrast),852,0,1775,0
2 of Clubs (Low contrast),0,95,923,95
3 of Clubs (Low contrast),71,95,994,95
4 of Clubs (Low contrast),142,95,1065,95
5 of Clubs (Low contrast),213,95,1136,95
6 of Clubs (Low contrast),284,95,1207,95
7 of Clubs (Low contrast),355,95,1278,95
8 of Clubs (Low contrast),426,95,1349,95
9 of Clubs (Low contrast),497,95,1420,95
10 of Clubs (Low contrast),568,95,1491,95
Jack of Clubs (Low contrast),639,95,1562,95
Queen of Clubs (Low contrast),710,95,1633,95
King of Clubs (Low contrast),781,95,1704,95
Ace of Clubs (Low contrast),852,95,1775,95
2 of Diamonds (Low contrast),0,190,923,190
3 of Diamonds (Low contrast),71,190,994,190
4 of Diamonds (Low contrast),142,190,1065,190
5 of Diamonds (Low contrast),213,190,1136,190
6 of Diamonds (Low contrast),284,190,1207,190
7 of Diamonds (Low contrast),355,190,1278,190
8 of Diamonds (Low contrast),426,190,1349,190
9 of Diamonds (Low contrast),497,190,1420,190
10 of Diamonds (Low contrast),568,190,1491,190
Jack of Diamonds (Low contrast),639,190,1562,190
Queen of Diamonds (Low contrast),710,190,1633,190
King of Diamonds (Low contrast),781,190,1704,190
Ace of Diamonds (Low contrast),852,190,1775,190
2 of Spades (Low contrast),0,285,923,285
3 of Spades (Low contrast),71,285,994,285
4 of Spades (Low contrast),142,285,1065,285
5 of Spades (Low contrast),213,285,1136,285
6 of Spades (Low contrast),284,285,1207,285
7 of Spades (Low contrast),355,285,1278,285
8 of Spades (Low contrast),426,285,1349,285
9 of Spades (Low contrast),497,285,1420,285
10 of Spades (Low contrast),568,285,1491,285
Jack of Spades (Low contrast),639,285,1562,285
Queen of Spades (Low contrast),710,285,1633,285
King of Spades (Low contrast),781,285,1704,285
Ace of Spades (Low contrast),852,285,1775,285
2 of Hearts (High contrast),0,380,923,380
3 of Hearts (High contrast),71,380,994,380
4 of Hearts (High contrast),142,380,1065,380
5 of Hearts (High contrast),213,380,1136,380
6 of Hearts (High contrast),284,380,1207,380
7 of Hearts (High contrast),355,380,1278,380
8 of Hearts (High contrast),426,380,1349,380
9 of Hearts (High contrast),497,380,1420,380
10 of Hearts (High contrast),568,380,1491,380
Jack of Hearts (High contrast),639,380,1562,380
Queen of Hearts (High contrast),710,380,1633,380
King of Hearts (High contrast),781,380,1704,380
Ace of Hearts (High contrast),852,380,1775,380
2 of Clubs (High contrast),0,475,923,475
3 of Clubs (High contrast),71,475,994,475
4 of Clubs (High contrast),142,475,1065,475
5 of Clubs (High contrast),213,475,1136,475
6 of Clubs (High contrast),284,475,1207,475
7 of Clubs (High contrast),355,475,1278,475
8 of Clubs (High contrast),426,475,1349,475
9 of Clubs (High contrast),497,475,1420,475
10 of Clubs (High contrast),568,475,1491,475
Jack of Clubs (High contrast),639,475,1562,475
Queen of Clubs (High contrast),710,475,1633,475
King of Clubs (High contrast),781,475,1704,475
Ace of Clubs (High contrast),852,475,1775,475
2 of Diamonds (High contrast),0,570,923,570
3 of Diamonds (High contrast),71,570,994,570
4 of Diamonds (High contrast),142,570,1065,570
5 of Diamonds (High contrast),213,570,1136,570
6 of Diamonds (High contrast),284,570,1207,570
7 of Diamonds (High contrast),355,570,1278,570
8 of Diamonds (High contrast),426,570,1349,570
9 of Diamonds (High contrast),497,570,1420,570
10 of Diamonds (High contrast),568,570,1491,570
Jack of Diamonds (High contrast),639,570,1562,570
Queen of Diamonds (High contrast),710,570,1633,570
King of Diamonds (High contrast),781,570,1704,570
Ace of Diamonds (High contrast),852,570,1775,570
2 of Spades (High contrast),0,665,923,665
3 of Spades (High contrast),71,665,994,665
4 of Spades (High contrast),142,665,1065,665
5 of Spades (High contrast),213,665,1136,665
6 of Spades (High contrast),284,665,1207,665
7 of Spades (High contrast),355,665,1278,665
8 of Spades (High contrast),426,665,1349,665
9 of Spades (High contrast),497,665,1420,665
10 of Spades (High contrast),568,665,1491,665
Jack of Spades (High contrast),639,665,1562,665
Queen of Spades (High contrast),710,665,1633,665
King of Spades (High contrast),781,665,1704,665
Ace of Spades (High contrast),852,665,1775,665
Jack of Hearts (Among Us low contrast),0,760,923,760
Queen of Hearts (Among Us low contrast),71,760,994,760
King of Hearts (Among Us low contrast),142,760,1065,760
Jack of Hearts (The Binding of Isaac low contrast),0,855,923,855
Queen of Hearts (The Binding of Isaac low contrast),71,855,994,855
King of Hearts (The Binding of Isaac low contrast),142,855,1065,855
Jack of Hearts (Cult of the Lamb low contrast),0,950,923,950
Queen of Hearts (Cult of the Lamb low contrast),71,950,994,950
King of Hearts (Cult of the Lamb low contrast),142,950,1065,950
Jack of Hearts (Divinity: Original Sin 2 low contrast),0,1045,923,1045
Queen of Hearts (Divinity: Original Sin 2 low contrast),71,1045,994,1045
King of Hearts (Divinity: Original Sin 2 low contrast),142,1045,1065,1045
Jack of Hearts (Critical Role low contrast),0,1140,923,1140
Queen of Hearts (Critical Role low contrast),71,1140,994,1140
King of Hearts (Critical Role low contrast),142,1140,1065,1140
Jack of Hearts (Bugsnax low contrast),0,1235,923,1235
Queen of Hearts (Bugsnax low contrast),71,1235,994,1235
King of Hearts (Bugsnax low contrast),142,1235,1065,1235
Jack of Clubs (Vampire Survivors low contrast),213,760,1136,760
Queen of Clubs (Vampire Survivors low contrast),284,760,1207,760
King of Clubs (Vampire Survivors low contrast),355,760,1278,760
Jack of Clubs (Slay the Spire low contrast),213,855,1136,855
Queen of Clubs (Slay the Spire low contrast),284,855,1207,855
King of Clubs (Slay the Spire low contrast),355,855,1278,855
Jack of Clubs (Potion Craft low contrast),213,950,1136,950
Queen of Clubs (Potion Craft low contrast),284,950,1207,950
King of Clubs (Potion Craft low contrast),355,950,1278,950
Jack of Clubs (Warframe low contrast),213,1045,1136,1045
Queen of Clubs (Warframe low contrast),284,1045,1207,1045
King of Clubs (Warframe low contrast),355,1045,1278,1045
Jack of Clubs (Dead by Daylight low contrast),213,1140,1136,1140
Queen of Clubs (Dead by Daylight low contrast),284,1140,1207,1140
King of Clubs (Dead by Daylight low contrast),355,1140,1278,1140
Jack of Clubs (Fallout low contrast),213,1235,1136,1235
Queen of Clubs (Fallout low contrast),284,1235,1207,1235
King of Clubs (Fallout low contrast),355,1235,1278,1235
Jack of Diamonds (Dave the Diver low contrast),426,760,1349,760
Queen of Diamonds (Dave the Diver low contrast),497,760,1420,760
King of Diamonds (Dave the Diver low contrast),568,760,1491,760
Jack of Diamonds (Stardew Valley low contrast),426,855,1349,855
Queen of Diamonds (Stardew Valley low contrast),497,855,1420,855
King of Diamonds (Stardew Valley low contrast),568,855,1491,855
Jack of Diamonds (Enter the Gungeon low contrast),426,950,1349,950
Queen of Diamonds (Enter the Gungeon low contrast),497,950,1420,950
King of Diamonds (Enter the Gungeon low contrast),568,950,1491,950
Jack of Diamonds (1000xRESIST low contrast),426,1045,1349,1045
Queen of Diamonds (1000xRESIST low contrast),497,1045,1420,1045
King of Diamonds (1000xRESIST low contrast),568,1045,1491,1045
Jack of Diamonds (Civilization VII low contrast),426,1140,1349,1140
Queen of Diamonds (Civilization VII low contrast),497,1140,1420,1140
King of Diamonds (Civilization VII low contrast),568,1140,1491,1140
Jack of Diamonds (Rust low contrast),426,1235,1349,1235
Queen of Diamonds (Rust low contrast),497,1235,1420,1235
King of Diamonds (Rust low contrast),568,1235,1491,1235
Jack of Spades (The Witcher III low contrast),639,760,1562,760
Queen of Spades (The Witcher III low contrast),710,760,1633,760
King of Spades (The Witcher III low contrast),781,760,1704,760
Jack of Spades (Cyberpunk 2077 low contrast),639,855,1562,855
Queen of Spades (Cyberpunk 2077 low contrast),710,855,1633,855
King of Spades (Cyberpunk 2077 low contrast),781,855,1704,855
Jack of Spades (Shovel Knight low contrast),639,950,1562,950
Queen of Spades (Shovel Knight low contrast),710,950,1633,950
King of Spades (Shovel Knight low contrast),781,950,1704,950
Jack of Spades (Don't Starve low contrast),639,1045,1562,1045
Queen of Spades (Don't Starve low contrast),710,1045,1633,1045
King of Spades (Don't Starve low contrast),781,1045,1704,1045
Jack of Spades (Assassin's Creed low contrast),639,1140,1562,1140
Queen of Spades (Assassin's Creed low contrast),710,1140,1633,1140
King of Spades (Assassin's Creed low contrast),781,1140,1704,1140
Jack of Spades (Slay the Princess low contrast),639,1235,1562,1235
Queen of Spades (Slay the Princess low contrast),710,1235,1633,1235
King of Spades (Slay the Princess low contrast),781,1235,1704,1235
Jack of Hearts (Among Us high contrast),0,1330,923,1330
Queen of Hearts (Among Us high contrast),71,1330,994,1330
King of Hearts (Among Us high contrast),142,1330,1065,1330
Jack of Hearts (The Binding of Isaac high contrast),0,1425,923,1425
Queen of Hearts (The Binding of Isaac high contrast),71,1425,994,1425
King of Hearts (The Binding of Isaac high contrast),142,1425,1065,1425
Jack of Hearts (Cult of the Lamb high contrast),0,1520,923,1520
Queen of Hearts (Cult of the Lamb high contrast),71,1520,994,1520
King of Hearts (Cult of the Lamb high contrast),142,1520,1065,1520
Jack of Hearts (Divinity: Original Sin 2 high contrast),0,1615,923,1615
Queen of Hearts (Divinity: Original Sin 2 high contrast),71,1615,994,1615
King of Hearts (Divinity: Original Sin 2 high contrast),142,1615,1065,1615
Jack of Hearts (Critical Role high contrast),0,1710,923,1710
Queen of Hearts (Critical Role high contrast),71,1710,994,1710
King of Hearts (Critical Role high contrast),142,1710,1065,1710
Jack of Hearts (Bugsnax high contrast),0,1805,923,1805
Queen of Hearts (Bugsnax high contrast),71,1805,994,1805
King of Hearts (Bugsnax high contrast),142,1805,1065,1805
Jack of Clubs (Vampire Survivors high contrast),213,1330,1136,1330
Queen of Clubs (Vampire Survivors high contrast),284,1330,1207,1330
King of Clubs (Vampire Survivors high contrast),355,1330,1278,1330
Jack of Clubs (Slay the Spire high contrast),213,1425,1136,1425
Queen of Clubs (Slay the Spire high contrast),284,1425,1207,1425
King of Clubs (Slay the Spire high contrast),355,1425,1278,1425
Jack of Clubs (Potion Craft high contrast),213,1520,1136,1520
Queen of Clubs (Potion Craft high contrast),284,1520,1207,1520
King of Clubs (Potion Craft high contrast),355,1520,1278,1520
Jack of Clubs (Warframe high contrast),213,1615,1136,1615
Queen of Clubs (Warframe high contrast),284,1615,1207,1615
King of Clubs (Warframe high contrast),355,1615,1278,1615
Jack of Clubs (Dead by Daylight high contrast),213,1710,1136,1710
Queen of Clubs (Dead by Daylight high contrast),284,1710,1207,1710
King of Clubs (Dead by Daylight high contrast),355,1710,1278,1710
Jack of Clubs (Fallout high contrast),213,1805,1136,1805
Queen of Clubs (Fallout high contrast),284,1805,1207,1805
King of Clubs (Fallout high contrast),355,1805,1278,1805
Jack of Diamonds (Dave the Diver high contrast),426,1330,1349,1330
Queen of Diamonds (Dave the Diver high contrast),497,1330,1420,1330
King of Diamonds (Dave the Diver high contrast),568,1330,1491,1330
Jack of Diamonds (Stardew Valley high contrast),426,1425,1349,1425
